algorithm,scenario,model,method,train_seed,unlearn_seed,ndcg
1,data_poison,Informational,fineTuning,1,103,0.5420097742043306
1,data_poison,Informational,fineTuning,1,104,0.5450912832228081
1,data_poison,Informational,fineTuning,1,105,0.5371723880147867
1,data_poison,Informational,fineTuning,1,106,0.538064218331652
1,data_poison,Informational,fineTuning,1,107,0.5424183699022995
1,data_poison,Informational,fineTuning,1,108,0.5458551348833318
1,data_poison,Informational,fineTuning,1,109,0.5409618210478806
1,data_poison,Informational,pga,1,100,0.5289901239012902
1,data_poison,Informational,pga,1,101,0.5284031413070955
1,data_poison,Informational,pga,1,102,0.5292633483962317
1,data_poison,Informational,pga,1,103,0.5328490782169398
1,data_poison,Informational,pga,1,104,0.5326218409410001
1,data_poison,Informational,pga,1,105,0.5358625592044545
1,data_poison,Informational,pga,1,106,0.5270241078731778
1,data_poison,Informational,pga,1,107,0.5265317867718788
1,data_poison,Informational,pga,1,108,0.5270648563761019
1,data_poison,Informational,pga,1,109,0.5346084788487961
1,model_poison,Perfect,retrain,1,100,0.5383586803402535
1,model_poison,Perfect,retrain,1,101,0.5391956334935196
1,model_poison,Perfect,retrain,1,102,0.5327066087190926
1,model_poison,Perfect,retrain,1,103,0.5334783534601888
1,model_poison,Perfect,retrain,1,104,0.5298316489928794
1,model_poison,Perfect,retrain,1,105,0.5339890841572811
1,model_poison,Perfect,retrain,1,106,0.5400843743758574
1,model_poison,Perfect,retrain,1,107,0.5341647481811149
1,model_poison,Perfect,retrain,1,108,0.5364164537947201
1,model_poison,Perfect,retrain,1,109,0.5317324664878224
1,model_poison,Perfect,FedRemove,1,100,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,101,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,102,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,103,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,104,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,105,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,106,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,107,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,108,0.27970265382483034
1,model_poison,Perfect,FedRemove,1,109,0.27970265382483034
1,model_poison,Perfect,fedEraser,1,100,0.5366138500127582
1,model_poison,Perfect,fedEraser,1,101,0.5326332808189095
1,model_poison,Perfect,fedEraser,1,102,0.5353494068670317
1,model_poison,Perfect,fedEraser,1,103,0.5330836520333043
1,model_poison,Perfect,fedEraser,1,104,0.5384850246671765
1,model_poison,Perfect,fedEraser,1,105,0.5368316520261287
1,model_poison,Perfect,fedEraser,1,106,0.5355697569837238
1,model_poison,Perfect,fedEraser,1,107,0.5318937010255351
1,model_poison,Perfect,fedEraser,1,108,0.5327019420310412
1,model_poison,Perfect,fedEraser,1,109,0.5313446520539125
1,model_poison,Perfect,fineTuning,1,100,0.529652513656861
1,model_poison,Perfect,fineTuning,1,101,0.5299740262544856
1,model_poison,Perfect,fineTuning,1,102,0.5321259062901482
1,model_poison,Perfect,fineTuning,1,103,0.5307477153128385
1,model_poison,Perfect,fineTuning,1,104,0.5336836826394893
1,model_poison,Perfect,fineTuning,1,105,0.5289317095886003
1,model_poison,Perfect,fineTuning,1,106,0.527008689629948
1,model_poison,Perfect,fineTuning,1,107,0.5309857553701106
1,model_poison,Perfect,fineTuning,1,108,0.5288463191488793
1,model_poison,Perfect,fineTuning,1,109,0.5334023748335899
1,model_poison,Perfect,pga,1,100,0.5184205949675185
1,model_poison,Perfect,pga,1,101,0.5171072320504784
1,model_poison,Perfect,pga,1,102,0.5163741996840402
1,model_poison,Perfect,pga,1,103,0.5178050897233051
1,model_poison,Perfect,pga,1,104,0.514704890383081
1,model_poison,Perfect,pga,1,105,0.5209010909247332
1,model_poison,Perfect,pga,1,106,0.5165837639040916
1,model_poison,Perfect,pga,1,107,0.5237177442332874
1,model_poison,Perfect,pga,1,108,0.517035344968973
1,model_poison,Perfect,pga,1,109,0.5169222183463598
1,model_poison,Navigational,retrain,1,100,0.5345829844934019
1,model_poison,Navigational,retrain,1,101,0.5352156243123364
1,model_poison,Navigational,retrain,1,102,0.5319137044088051
1,model_poison,Navigational,retrain,1,103,0.5320747261792652
1,model_poison,Navigational,retrain,1,104,0.5313130596090988
1,model_poison,Navigational,retrain,1,105,0.5391835990603259
1,model_poison,Navigational,retrain,1,106,0.536205884723497
1,model_poison,Navigational,retrain,1,107,0.5375948436782271
1,model_poison,Navigational,retrain,1,108,0.5333771444251202
1,model_poison,Navigational,retrain,1,109,0.5282323683220616
1,model_poison,Navigational,FedRemove,1,100,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,101,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,102,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,103,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,104,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,105,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,106,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,107,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,108,0.2671088294879378
1,model_poison,Navigational,FedRemove,1,109,0.2671088294879378
1,model_poison,Navigational,fedEraser,1,100,0.538716168681267
1,model_poison,Navigational,fedEraser,1,101,0.5313588917829113
1,model_poison,Navigational,fedEraser,1,102,0.5357193956053695
1,model_poison,Navigational,fedEraser,1,103,0.5372480404070517
1,model_poison,Navigational,fedEraser,1,104,0.5397642583809807
1,model_poison,Navigational,fedEraser,1,105,0.5359223030939632
1,model_poison,Navigational,fedEraser,1,106,0.5305052379900623
1,model_poison,Navigational,fedEraser,1,107,0.5328139919446511
1,model_poison,Navigational,fedEraser,1,108,0.5373121231197185
1,model_poison,Navigational,fedEraser,1,109,0.5381767238228999
1,model_poison,Navigational,fineTuning,1,100,0.5455735133353736
1,model_poison,Navigational,fineTuning,1,101,0.5449488537559692
1,model_poison,Navigational,fineTuning,1,102,0.5426120877903742
1,model_poison,Navigational,fineTuning,1,103,0.5493665965889443
1,model_poison,Navigational,fineTuning,1,104,0.545894585939017
1,model_poison,Navigational,fineTuning,1,105,0.5426229984031133
1,model_poison,Navigational,fineTuning,1,106,0.5434686667595856
1,model_poison,Navigational,fineTuning,1,107,0.5440281596557699
1,model_poison,Navigational,fineTuning,1,108,0.5397503464233552
1,model_poison,Navigational,fineTuning,1,109,0.544778370876382
1,model_poison,Navigational,pga,1,100,0.5011086588513143
1,model_poison,Navigational,pga,1,101,0.5061320950800008
1,model_poison,Navigational,pga,1,102,0.5043878489775893
1,model_poison,Navigational,pga,1,103,0.5011594666454909
1,model_poison,Navigational,pga,1,104,0.5096723198261219
1,model_poison,Navigational,pga,1,105,0.5057527809387246
1,model_poison,Navigational,pga,1,106,0.5028285145604395
1,model_poison,Navigational,pga,1,107,0.5021458232833169
1,model_poison,Navigational,pga,1,108,0.5006591274298704
1,model_poison,Navigational,pga,1,109,0.5085460051431645
1,model_poison,Informational,retrain,1,100,0.538477681449841
1,model_poison,Informational,retrain,1,101,0.5261087399718062
1,model_poison,Informational,retrain,1,102,0.5318624848394179
1,model_poison,Informational,retrain,1,103,0.5238399752063182
1,model_poison,Informational,retrain,1,104,0.5303941417379938
1,model_poison,Informational,retrain,1,105,0.5188210555998696
1,model_poison,Informational,retrain,1,106,0.5318795546964019
1,model_poison,Informational,retrain,1,107,0.5212202865696054
1,model_poison,Informational,retrain,1,108,0.5254145809584061
1,model_poison,Informational,retrain,1,109,0.517449142166646
1,model_poison,Informational,FedRemove,1,100,0.34197555681370134
1,model_poison,Informational,FedRemove,1,101,0.34197555681370134
1,model_poison,Informational,FedRemove,1,102,0.34197555681370134
1,model_poison,Informational,FedRemove,1,103,0.34197555681370134
1,model_poison,Informational,FedRemove,1,104,0.34197555681370134
1,model_poison,Informational,FedRemove,1,105,0.34197555681370134
1,model_poison,Informational,FedRemove,1,106,0.34197555681370134
1,model_poison,Informational,FedRemove,1,107,0.34197555681370134
1,model_poison,Informational,FedRemove,1,108,0.34197555681370134
1,model_poison,Informational,FedRemove,1,109,0.34197555681370134
1,model_poison,Informational,fedEraser,1,100,0.5250475226937245
1,model_poison,Informational,fedEraser,1,101,0.5151278442486842
1,model_poison,Informational,fedEraser,1,102,0.530987445134458
1,model_poison,Informational,fedEraser,1,103,0.528673884040326
1,model_poison,Informational,fedEraser,1,104,0.5295976369224953
1,model_poison,Informational,fedEraser,1,105,0.5328187329464611
1,model_poison,Informational,fedEraser,1,106,0.5260589250804784
1,model_poison,Informational,fedEraser,1,107,0.5235630631915048
1,model_poison,Informational,fedEraser,1,108,0.5269247789622103
1,model_poison,Informational,fedEraser,1,109,0.52745787825474
1,model_poison,Informational,fineTuning,1,100,0.5421726761119589
1,model_poison,Informational,fineTuning,1,101,0.5346118186182064
1,model_poison,Informational,fineTuning,1,102,0.5429349945696305
1,model_poison,Informational,fineTuning,1,103,0.5448060604713502
1,model_poison,Informational,fineTuning,1,104,0.546729262142469
1,model_poison,Informational,fineTuning,1,105,0.540495041727863
1,model_poison,Informational,fineTuning,1,106,0.5394486759315767
1,model_poison,Informational,fineTuning,1,107,0.5373570126905779
1,model_poison,Informational,fineTuning,1,108,0.5407909659001078
1,model_poison,Informational,fineTuning,1,109,0.542238396543337
1,model_poison,Informational,pga,1,100,0.503644404266279
1,model_poison,Informational,pga,1,101,0.5038106579770137
1,model_poison,Informational,pga,1,102,0.5072631208391987
1,model_poison,Informational,pga,1,103,0.509880811975692
1,model_poison,Informational,pga,1,104,0.5144480017036656
1,model_poison,Informational,pga,1,105,0.5059333678680731
1,model_poison,Informational,pga,1,106,0.5097948662129205
1,model_poison,Informational,pga,1,107,0.5073062081298872
1,model_poison,Informational,pga,1,108,0.5096284162370556
1,model_poison,Informational,pga,1,109,0.509722879755637
2,clean,Perfect,retrain,1,1,0.5315573160722048
2,clean,Perfect,retrain,2,2,0.546737539698436
2,clean,Perfect,retrain,3,3,0.537307447975743
2,clean,Perfect,retrain,4,4,0.5448041913096956
2,clean,Perfect,retrain,5,5,0.5336587138318063
2,clean,Perfect,retrain,6,6,0.5432964161221419
2,clean,Perfect,retrain,7,7,0.5384677043518973
2,clean,Perfect,retrain,8,8,0.5351078865335896
2,clean,Perfect,retrain,9,9,0.5470501949719452
2,clean,Perfect,retrain,10,10,0.5367017922774988
2,clean,Perfect,FedRemove,1,1,0.5378812823134349
2,clean,Perfect,FedRemove,2,2,0.53339046916668
2,clean,Perfect,FedRemove,3,3,0.5370419080584441
2,clean,Perfect,FedRemove,4,4,0.534533846097659
2,clean,Perfect,FedRemove,5,5,0.536990817796197
2,clean,Perfect,FedRemove,6,6,0.5389660305473449
2,clean,Perfect,FedRemove,7,7,0.5362296523690838
2,clean,Perfect,FedRemove,8,8,0.5350378560763077
2,clean,Perfect,FedRemove,9,9,0.5385163918591962
2,clean,Perfect,FedRemove,10,10,0.5348523993348827
2,clean,Perfect,fedEraser,1,1,0.5364679841589398
2,clean,Perfect,fedEraser,2,2,0.5414591114072939
2,clean,Perfect,fedEraser,3,3,0.5410634776646545
2,clean,Perfect,fedEraser,4,4,0.5454439333786997
2,clean,Perfect,fedEraser,5,5,0.540813231992217
2,clean,Perfect,fedEraser,6,6,0.538004137017956
2,clean,Perfect,fedEraser,7,7,0.5451564903803416
2,clean,Perfect,fedEraser,8,8,0.5359829770930924
2,clean,Perfect,fedEraser,9,9,0.5439341003596697
